QID6 - Consent to,,,,,,,,,,,,
Answer,,,,,,,,,,,,
"Yes, I agree to participate",,,%,98.40%,Count,123,,,,,,
"No, I do not wish to participate",,,%,1.60%,Count,2,,,,,,
,,,,,,,,,,,,
1. - 1. Which lakes do you work on or represent? (select all that apply),,,,,,,,,,,,
,,,,,,,,,,,,
Answer,,,%,Count,,,,,,,,
,,,,,,,,,,,,
Superior,,,21.90%,53,,,,,,,,
,,,,,,,,,,,,
Michigan,,,22.31%,54,,,,,,,,
,,,,,,,,,,,,
Huron,,,19.01%,46,,,,,,,,
,,,,,,,,,,,,
Erie,,,17.36%,42,,,,,,,,
,,,,,,,,,,,,
Ontario,,,11.98%,29,,,,,,,,
,,,,,,,,,,,,
Other (please specify),,,7.44%,18,,,,,,,,
,,,,,,,,,,,,
Total,,,100%,242,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2. - 2. In which category of respondent do you belong?,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Answer,,,%,Count,,,,,,,,
,,,,,,,,,,,,
Fishery Manager,,,25.00%,30,,,,,,,,
,,,,,,,,,,,,
Fishery Biologist,,,28.33%,34,,,,,,,,
,,,,,,,,,,,,
Academic Scientist,,,17.50%,21,,,,,,,,
,,,,,,,,,,,,
GLFC Citizen Advisor,,,0.83%,1,,,,,,,,
,,,,,,,,,,,,
Other (please specify),,,28.33%,34,,,,,,,,
,,,,,,,,,,,,
Total,,,100%,120,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"3. - 3. If you checked ""Fishery Manager""which of the following groups would you consider yourprimary constituents? (select all thatapply)",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Answer,,,%,Count,,,,,,,,
,,,,,,,,,,,,
Recreational fishers,,,33.87%,21,,,,,,,,
,,,,,,,,,,,,
Commercial fishers,,,22.58%,14,,,,,,,,
,,,,,,,,,,,,
Tribal fishers,,,17.74%,11,,,,,,,,
,,,,,,,,,,,,
The general public,,,25.81%,16,,,,,,,,
,,,,,,,,,,,,
Total,,,100%,62,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
